City_ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
216,staritsa,0,RU,1524969572,86,56.51,34.93,35.18,3.62
217,saskylakh,48,RU,1524969573,100,71.97,114.09,11.24,4.74
218,gewane,92,ET,1524969573,99,10.16,40.66,67.4,2.95
219,takoradi,20,GH,1524969573,99,4.89,-1.75,79.91,6.42
220,fairbanks,1,US,1524967080,36,64.84,-147.72,46.4,8.05
221,belyy yar,0,RU,1524967200,52,53.6,91.39,44.6,4.47
222,san juan,40,PH,1524967200,62,14.6,121.03,87.8,5.82
223,ubatuba,0,BR,1524967200,82,-23.43,-45.08,66.2,1.12
224,namibe,0,AO,1524969576,100,-15.19,12.15,76.49,7.2
225,leeds,40,GB,1524966600,93,53.8,-1.54,42.8,6.93
226,aguimes,75,ES,1524967200,68,27.91,-15.45,64.4,24.16
227,port lincoln,0,AU,1524969577,87,-34.72,135.86,65.87,11.45
228,namatanai,64,PG,1524969577,100,-3.66,152.44,80.72,2.62
229,nikolskoye,0,RU,1524967200,93,59.7,30.79,39.2,4.47
230,nhulunbuy,75,AU,1524967200,55,-12.18,136.78,86.0,11.41
231,terra nova,40,BR,1524967200,74,-12.41,-38.62,80.6,8.05
232,brae,48,GB,1524966600,86,60.4,-1.35,39.2,8.05
233,estevan,1,CA,1524968100,33,49.14,-102.99,60.8,17.22
234,bosaso,8,SO,1524969579,99,11.28,49.18,82.34,5.64
235,imbituba,40,BR,1524967200,88,-28.24,-48.67,75.2,8.05
236,tuktoyaktuk,20,CA,1524967200,77,69.44,-133.03,8.6,14.99
237,coos bay,90,US,1524968100,76,43.37,-124.22,53.6,13.87
238,new norfolk,20,AU,1524967200,33,-42.78,147.06,62.6,8.05
239,pevek,0,RU,1524969581,97,69.7,170.27,27.08,2.17
240,victor harbor,0,AU,1524967200,45,-35.55,138.62,66.2,9.17
241,negombo,20,LK,1524967800,78,7.21,79.83,80.6,5.82
242,mineiros,44,BR,1524969582,44,-17.57,-52.55,76.94,6.64
243,kashan,0,IR,1524967200,45,33.99,51.44,62.6,4.7
244,mogadishu,76,SO,1524969341,100,2.04,45.34,82.34,14.14
245,mocuba,80,MZ,1524969583,99,-16.84,36.99,69.29,3.62
246,napasar,0,IN,1524969398,35,27.97,73.56,85.22,4.63
247,zhuhai,20,CN,1524967200,21,40.71,112.04,69.8,11.18
248,kensington,90,CA,1524967200,100,46.44,-63.64,55.4,3.36
249,la ronge,20,CA,1524967200,24,55.1,-105.3,71.6,13.87
250,erattupetta,40,IN,1524969000,94,9.69,76.78,82.4,2.73
251,hasaki,40,JP,1524967200,50,35.73,140.83,75.2,10.29
252,bakchar,44,RU,1524969586,76,57.02,82.07,46.97,3.4
253,santa marta,24,CO,1524969391,97,11.24,-74.21,80.72,21.52
254,severo-yeniseyskiy,8,RU,1524969587,60,60.37,93.04,44.09,3.4
255,kapit,8,MY,1524969587,83,2.02,112.94,82.52,2.95
256,henties bay,0,NA,1524969588,100,-22.12,14.28,59.84,5.3
257,sept-iles,90,CA,1524967200,100,50.2,-66.38,33.8,2.28
258,vaitape,12,PF,1524969588,100,-16.52,-151.75,83.06,3.96
259,pozo colorado,0,PY,1524969589,74,-23.49,-58.8,75.5,2.73
260,mount isa,8,AU,1524967200,17,-20.73,139.49,84.2,13.87
261,charters towers,0,AU,1524969589,80,-20.07,146.27,76.04,10.45
262,east london,8,ZA,1524969590,100,-33.02,27.91,64.52,6.42
263,pacific grove,75,US,1524967620,71,36.62,-121.92,60.8,10.29
264,vestmanna,32,FO,1524966600,86,62.16,-7.17,37.4,4.7
265,vestmannaeyjar,64,IS,1524969591,100,63.44,-20.27,36.62,7.99
266,umea,68,SE,1524966600,100,63.83,20.26,28.4,2.24
267,maputo,20,MZ,1524967200,78,-25.97,32.57,73.4,10.29
268,humaita,20,AR,1524967200,93,-24.93,-65.37,64.4,1.61
269,smiltene,8,LV,1524969592,84,57.42,25.9,37.25,2.73
270,idah,12,NG,1524969592,94,7.11,6.73,76.67,8.43
271,otyniya,0,UA,1524967200,100,48.74,24.86,44.6,2.24
272,fukue,20,JP,1524967200,68,35.03,136.69,68.0,4.7
273,kisangani,32,CD,1524969593,99,0.52,25.21,71.99,2.06
274,ossora,88,RU,1524969594,99,59.24,163.07,31.94,9.89
275,seymchan,48,RU,1524969594,88,62.93,152.39,29.87,10.22
276,puerto palomas,1,US,1524966780,14,31.78,-107.63,78.8,4.7
277,tilichiki,88,RU,1524969595,96,60.47,166.1,33.74,1.72
278,cayenne,75,GF,1524969000,100,4.94,-52.33,75.2,7.2
279,ibanda,44,UG,1524969596,91,0.33,30.08,61.1,1.83
280,anadyr,90,RU,1524967200,92,64.73,177.51,21.2,6.71
281,bathsheba,75,BB,1524967200,78,13.22,-59.52,78.8,21.92
282,markova,40,RU,1524967200,86,52.21,104.21,39.2,6.71
283,rabo de peixe,40,PT,1524967200,66,37.8,-25.58,53.6,6.93
284,ocampo,64,PH,1524969597,90,13.56,123.37,83.15,6.42
285,phangnga,20,TH,1524967200,74,8.45,98.53,86.0,9.17
286,abashiri,0,JP,1524967200,23,44.01,144.25,62.6,4.7
287,zhigansk,0,RU,1524969598,57,66.77,123.37,24.74,11.23
